load,t
161303,30/10/2021 01:00
637722,30/10/2021 02:00
562080,30/10/2021 03:00
521962,30/10/2021 04:00
503018,30/10/2021 05:00
491360,30/10/2021 06:00
519237,30/10/2021 07:00
522642,30/10/2021 08:00
553188,30/10/2021 09:00
675626,30/10/2021 10:00
723300,30/10/2021 11:00
842469,30/10/2021 12:00
991671,30/10/2021 13:00
1079978,30/10/2021 14:00
1005252,30/10/2021 15:00
960595,30/10/2021 16:00
899922,30/10/2021 17:00
866141,30/10/2021 18:00
812521,30/10/2021 19:00
744300,30/10/2021 20:00
688656,30/10/2021 21:00
646280,30/10/2021 22:00
548079,30/10/2021 23:00
556391,31/10/2021 00:00
586747,31/10/2021 01:00
497393,31/10/2021 02:00
454138,31/10/2021 03:00
442353,31/10/2021 04:00
442005,31/10/2021 05:00
432013,31/10/2021 06:00
471841,31/10/2021 07:00
498313,31/10/2021 08:00
515676,31/10/2021 09:00
602204,31/10/2021 10:00
640709,31/10/2021 11:00
753206,31/10/2021 12:00
823261,31/10/2021 13:00
905842,31/10/2021 14:00
844999,31/10/2021 15:00
838393,31/10/2021 16:00
800972,31/10/2021 17:00
771467,31/10/2021 18:00
767145,31/10/2021 19:00
728302,31/10/2021 20:00
695824,31/10/2021 21:00
671470,31/10/2021 22:00
657102,31/10/2021 23:00
693041,1/11/2021 0:00
794520,1/11/2021 1:00
700460,1/11/2021 2:00
641540,1/11/2021 3:00
646135,1/11/2021 4:00
649919,1/11/2021 5:00
720049,1/11/2021 6:00
793667,1/11/2021 7:00
866770,1/11/2021 8:00
1038350,1/11/2021 9:00
1210481,1/11/2021 10:00
1500951,1/11/2021 11:00
2198793,1/11/2021 12:00
2916536,1/11/2021 13:00
3184567,1/11/2021 14:00
3237585,1/11/2021 15:00
3007460,1/11/2021 16:00
2835115,1/11/2021 17:00
2774969,1/11/2021 18:00
2601017,1/11/2021 19:00
2418107,1/11/2021 20:00
2019348,1/11/2021 21:00
1557529,1/11/2021 22:00
1245682,1/11/2021 23:00
1124459,2/11/2021 0:00
994099,2/11/2021 1:00
879642,2/11/2021 2:00
764830,2/11/2021 3:00
709663,2/11/2021 4:00
709144,2/11/2021 5:00
756041,2/11/2021 6:00
868650,2/11/2021 7:00
967397,2/11/2021 8:00
1103771,2/11/2021 9:00
1275317,2/11/2021 10:00
1568429,2/11/2021 11:00
2232287,2/11/2021 12:00
3041137,2/11/2021 13:00
3366599,2/11/2021 14:00
3478187,2/11/2021 15:00
3168005,2/11/2021 16:00
2986895,2/11/2021 17:00
2884260,2/11/2021 18:00
2734936,2/11/2021 19:00
2550921,2/11/2021 20:00
2115644,2/11/2021 21:00
1575484,2/11/2021 22:00
1249589,2/11/2021 23:00
1047604,3/11/2021 0:00
1022402,3/11/2021 1:00
875864,3/11/2021 2:00
807078,3/11/2021 3:00
751943,3/11/2021 4:00
730915,3/11/2021 5:00
776828,3/11/2021 6:00
870748,3/11/2021 7:00
966476,3/11/2021 8:00
1061950,3/11/2021 9:00
1273106,3/11/2021 10:00
1558086,3/11/2021 11:00
2205280,3/11/2021 12:00
2962737,3/11/2021 13:00
3387499,3/11/2021 14:00
3432786,3/11/2021 15:00
3173403,3/11/2021 16:00
3083519,3/11/2021 17:00
2957480,3/11/2021 18:00
2810208,3/11/2021 19:00
2653366,3/11/2021 20:00
2160101,3/11/2021 21:00
1686892,3/11/2021 22:00
1407288,3/11/2021 23:00
1183502,4/11/2021 0:00
1049054,4/11/2021 1:00
929116,4/11/2021 2:00
828983,4/11/2021 3:00
700205,4/11/2021 4:00
